fin_year,mnth,lgd_state_code,state_name,lgd_district_code,district_name,scheme_code,total_beneficiaries,total_sc,total_st,total_gen,total_obc,total_aadhar,total_mobileno,lastUpdated
2024-2025,6,1,JAMMU AND KASHMIR,1,ANANTNAG,IGNDPS,104,0,2,101,1,104,19,29/07/24
2024-2025,6,1,JAMMU AND KASHMIR,11,PULWAMA,IGNDPS,100,0,6,86,8,99,57,29/07/24
2024-2025,6,1,JAMMU AND KASHMIR,620,KISHTWAR,IGNDPS,107,0,0,107,0,104,31,29/07/24
2024-2025,6,10,BIHAR,190,BANKA,IGNDPS,1990,213,61,1500,216,1402,1471,29/07/24
2024-2025,6,10,BIHAR,196,GAYA,IGNDPS,1665,407,31,1142,85,1191,1221,29/07/24
2024-2025,6,10,BIHAR,199,JEHANABAD,IGNDPS,378,62,15,223,78,239,225,29/07/24
2024-2025,6,10,BIHAR,200,KAIMUR (BHABUA),IGNDPS,1624,349,65,965,245,1021,1339,29/07/24
2024-2025,6,10,BIHAR,201,KATIHAR,IGNDPS,2102,111,22,1817,152,1429,1629,29/07/24
2024-2025,6,10,BIHAR,202,KHAGARIA,IGNDPS,1846,165,27,1453,201,1221,1495,29/07/24
2024-2025,6,10,BIHAR,204,LAKHISARAI,IGNDPS,2371,327,28,1511,505,1487,1743,29/07/24
2024-2025,6,10,BIHAR,206,MADHUBANI,IGNDPS,9744,842,105,7771,1026,6422,7303,29/07/24
2024-2025,6,10,BIHAR,221,SITAMARHI,IGNDPS,3608,473,82,2664,389,2483,2955,29/07/24
2024-2025,6,11,SIKKIM,227,SOUTH DISTRICT,IGNDPS,192,13,58,65,56,0,98,29/07/24
2024-2025,6,12,ARUNACHAL PRADESH,231,EAST KAMENG,IGNDPS,179,0,179,0,0,0,0,29/07/24
2024-2025,6,12,ARUNACHAL PRADESH,233,KURUNG KUMEY,IGNDPS,193,0,193,0,0,63,0,29/07/24
2024-2025,6,12,ARUNACHAL PRADESH,234,LOHIT,IGNDPS,22,0,19,3,0,14,0,29/07/24
2024-2025,6,12,ARUNACHAL PRADESH,236,LOWER SUBANSIRI,IGNDPS,102,0,102,0,0,45,0,29/07/24
2024-2025,6,12,ARUNACHAL PRADESH,240,UPPER SIANG,IGNDPS,86,0,86,0,0,42,0,29/07/24
2024-2025,6,12,ARUNACHAL PRADESH,666,LONGDING,IGNDPS,78,0,78,0,0,63,3,29/07/24
2024-2025,6,13,NAGALAND,244,DIMAPUR,IGNDPS,138,0,137,1,0,1,0,29/07/24
2024-2025,6,13,NAGALAND,247,MON,IGNDPS,108,0,108,0,0,37,3,29/07/24
2024-2025,6,13,NAGALAND,250,WOKHA,IGNDPS,110,0,110,0,0,0,0,29/07/24
2024-2025,6,14,MANIPUR,252,BISHNUPUR,IGNDPS,24,4,0,20,0,15,0,29/07/24
2024-2025,6,14,MANIPUR,255,IMPHAL EAST,IGNDPS,183,2,2,3,176,92,24,29/07/24
2024-2025,6,15,MIZORAM,266,MAMIT,IGNDPS,81,0,81,0,0,56,65,29/07/24
2024-2025,6,15,MIZORAM,728,KHAWZAWL,IGNDPS,20,0,20,0,0,11,7,29/07/24
2024-2025,6,16,TRIPURA,272,WEST TRIPURA,IGNDPS,390,89,53,148,100,180,9,29/07/24
2024-2025,6,17,MEGHALAYA,273,EAST GARO HILLS,IGNDPS,130,1,121,8,0,117,18,29/07/24
